participantID,A,rank_0_elab,rank_2_A_elab,rank_equaltxt_elab,rank_txt_elab,rank_0,rank_2_A,rank_equaltxt,rank_txt,rankElab_A,B,rank_1_elab,rank_2_B_elab,rank_3_elab,rank_1,rank_2_B,rank_3,rankElab_B,generatedChart,chartSemanticLevel,chartSemanticLevel_next,takeaway1,takeaway2,takeaway3,takeawayInfoReliance,attn_check,lit 1_1,lit 2_1,lit 3_1,lit 4_1,lit 5_1,lit 6_1,pref 1_1,pref 2_1,pref 3_1,pref 4_1,chartQuote,readingQuote,age,education,chartFreq,chartFreqValue,chartContext,chartContext_12_TEXT,readShortFreq,readShortFreqValue,readLongFreq,readLongFreqValue,readContext,readContext_12_TEXT,comments
170,6,It's easy to understand.,Easy to read and understand.,Easy to read and understand. ,You have to read a lot in order to know what is happening. ,3,2,1,4,,2,Easy to understand with just basic information. ,Easy to read and understand. ,Easy to read and understand. ,2,1,3,,7,2,,Immigration shot way up in 1982.,It started to decrease in 1985.,It has been going down since 1990,4,3,6,5,4,5,6,3,4,5,4,4,4,4,45 - 54,Some college,Few times a week,6,"Social media,News article (online),News article (print),Health information,Scientific publications,Government reports",,Every day,1,Once a week,3,"Social media,News (online or print),Scientific publications,Books,Short stories,Manuals or instructions,Brochures",,
171,9,It's not cluttered. It is easy to focus on the numbers and data in the visual. I don't like that it gives me no context as to why the visual is the way it is.,"It only shows what's happening during the peak. I really would want to know why that peak exists, or what happened after it was over.","The text and arrows showing the various events that take place are useful to understand what's happening with the attendance. I am not sure why some points have circles on them, but others don't. I'm also not sure why the title text states ""Attendance in 2010 greater than 2009"". I see that this statement is true based on the chart, but what is the point of telling me this here? Finally, I don't like how some of the text states ""why"" the numbers are the way they are and other texts simply state ""what"" they are. For example: ""Attendance plummets over the span of a year""...why?","Very clear narrative. It's easy to tell what happened and when. It does lack a visual representation of the numbers, but I can fairly clearly understand what is happening when. The only thing I cannot understand well is the perceived ""scale"" of the changes. ",4,3,2,1,The text is the easiest for me to understand what is happening when. The graphic without text gives me absolutely no context as to what is happening when.,5,"Clear, no distractions with text, which is good. It doesn't give any context but it doesn't make me ask any additional questions.","I don't like that it doesn't tell me what is happening during the maximum, but because there is no text to denote the ""steep fall"", I am not really wondering why.","I don't like that it doesn't tell me what happened to reach the ""maximum"" and then a steep fall afterwards.",1,2,3,"I don't really need to have the maximum pointed out to me, that's pretty obvious. Also, I don't need to be told there is a steep fall or steady decrease. I can very easily see that from the visual.",6,1,3,Something happened in the early 1990s to decrease the nation debt to lower levels,Something happened in the mid 1990s to steadily increase the national debit to higher than the pre-1990 levels,National debt was relatively stable post 2000,4,3,4,5,4,3,4,4,4,4,5,4,4,5,25 - 34,Professional degree,Every day,7,Job or career,,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Books,Manuals or instructions",,Thanks
172,6,"Same reasons about the overall chart that I mentioned previously, but this one lacks annotation context so it doesn't do much to help convey whatever message without additional information.","I like how there isn't a ton of information trying to be crammed into one graph, but the way it is presented implies an obvious lack of context that the chart does nothing to answer (i.e. why it changed so drastically in the early 1990s). I also appreciate the annotation from ~2000 forward","Although this looks a little more crowded than previous charts, the annotation provides valuable information and help explain what is happening with the National Debt in context of governmental factors.","This method helps clearly and thoroughly explain the information, but it removes some of the shock value per se that a drastic drop and increase shows in a graphic rather than just text.",4,3,1,2,,7,"I am not a fan of graphics on their own that don't provide any context whatsoever. This kind of graphic can be misused by giving an explanation of the data that is not supported by reality, but could potentially be inferred from someone who isn't aware of the reality of the situation.","Similar to what I mentioned earlier, this annotation states the obvious that can already by seen just by looking at the graphic, and does not provide any outside context.","I am often a fan of useful annotations, but the annotations here seem to be stating the obvious a bit. Annotations should provide additional context beyond just what an observer could figure out from looking at the graphic alone.",3,2,1,Some information is better than no information I suppose.,2,2,4,Median household income has been steadily increasing for decades.,"Around the year 2008, median household incomes began increasing more sharply than the steady increase in previous years/decades.",The reason for the steady wage increase is base wages increasing.,3,3,4,4,4,4,5,4,4,5,3,5,5,6,25 - 34,4 year degree,Few times a week,6,"Social media,News article (online),News media (e.g., television news),Infographics",,Every day,1,Few times a month,4,"Job or career,Social media,News (online or print),Books",,Thank you.
173,3,There is no text to explain the information given in the chart. It could use a title,I don't like that there is no way to tell what the line represents or in other words what the stock index is measured in,I like that it explains each component. Someone could easily figure out what this graph is about,It's short and simple to read but it's boring to look at as opposed to a chart or graph,4,2,1,3,,4,I like that The title gives the gist of what the graph displays without the audience having to spend too much time trying to read it,"""maximum"" indicates more insight into the data, the audience will now know median household income was the highest around 1985",The text gives more insight and allows the audience to deduce a relationship between a tech boom and medium household income increasing,3,2,1,,4,3,4,The tech boom came right before increase in medium household income.,Median household income was highest in 1980,Median household income was lower in 1970 to 1990,4,3,4,3,4,4,4,3,5,6,4,5,5,6,25 - 34,Some college,Few times a week,6,"Job or career,News media (e.g., television news),Health information,Infographics",,Every day,1,Few times a month,4,"Job or career,News (online or print),Books,Magazines,Manuals or instructions",,
174,7,"There's little context, but the raw information is there and easy to read.",The annotation is not useful. It is very obvious from the chart itself. ,"Text about statistics that are obvious from the chart itself (""Immigration in 1982 higher..."" etc) weren't helpful. Historical markers were much appreciated. ","What I like is it presents a statement, then backs it with data. However, it takes much longer to process this block of text than a chart giving the same information. ",3,4,1,2,"While there are annotations I'd get rid of in my first choice, I still find it easy to take in the information. The same info is in the text. A lack of any context has its uses, and the annotation on my final choice is a waste of my attention. ",3,"It's fine for raw data, but it raises a lot of questions about context. Why the steep decline?","It's helpful to know there was a national debt crisis, but it is perfectly obvious a steep decrease followed.",The annotations don't add anything that isn't already clear. ,3,1,2,"I like having the national debt mentioned, but further annotations are unnecessary. Context is missed for my final choice.",5,2,4,The approval ratings doubled from 40 to 80 when the president initiated a school program,"Otherwise, the ratings remained stagnant",,4,3,5,6,6,6,6,4,5,6,5,6,6,6,45 - 54,4 year degree,Once a week,5,"Social media,News article (online),News article (print),News media (e.g., television news),Health information,Infographics",,Every day,1,Few times a week,2,"Social media,News (online or print),Books,Magazines,Short stories",,
175,6,I like how simple this graph is. I dislike that there is no header or title for it.,I like how the information presented in this graph is simple and not overwhelming by any means. I dislike how the years aren't more specific and instead spread out over 5 year intervals.,I like how informative this graph is but I dislike how words are mixed into the graph.,I like how this information is easy to read and understand. I dislike how it is in the form of a rather long paragraph.,4,1,3,2,,9,I like how clean this graph. I dislike it's odd shape though.,I like how this graph isn't filled with too much information. I dislike the text and how it seems to confuse me more than inform me.,I do not like much of anything about this graph. I dislike how busy and messy this graph is.,1,2,3,,4,2,3,The medium household income was at it's maximum between 1980 and 1990.,,,3,3,6,2,6,6,6,4,4,6,6,5,5,6,25 - 34,High school graduate,Few times a week,6,"Social media,News article (online)",,Every day,1,Few times a week,2,"Social media,Books,Manuals or instructions",,
176,7,I like how the visual allows me to see the highest number of immigrants in 1980. This is so clear. Also I can quickly see the lowest too. ,I like that the text gives me more information. It is very helpful with the text and visual available to me. ,I do like all of the text. It provides information that I otherwise would not know. It is a little overwhelming though and takes away from being able to look at the visual quickly. ,I like that it in words. I am used to reading paragraphs of information. It is all combined into one. It flows nicely. The problem lies in that I am thinking of more of the timeline and less of the numbers. ,4,1,2,3,,4,The visual is clear. There is nothing taking away from it. I can quickly move my eyes from the axis to the visual. ,"I like that it simply shows the maximum. My eyes went right to that. If I had to look at it quickly, I would see that first. ",I like that there is extra information to tell me why things happened but not too much. ,3,2,1,,5,2,3,The maximum approval rating was 2018. ,Steep fall from 2018 to 2020.,President approval rating was lowest in 2020.,4,3,5,5,4,5,4,3,5,5,5,6,6,6,55 - 64,2 year degree,Few times a month,4,"News media (e.g., television news),Health information",,Every day,1,Every day,1,"Social media,News (online or print),Books,Short stories",,
177,8,Something with what looks like a steady decline downward at relatively the same pace massively inwith a spike and fall needs to be explained here,There's just the explanation of the spike and its puzzling why the immediate bounce back down wouldn't be explained at a bear minimum.,It pretty easily at hand immediately shows what caused a rapid rise and plummet in users. I don't like it not explaining the slide before the udat though,"Normally I like line graph visualization but this is a fairly unique circumstance so I think a textual explanation suits it much better.
",4,3,2,1,"Information in terms of how to interpret this graph is vital. Depending on how it would be used there's room for lots of misinterpretation and the more the merrier. It's not really a complicated thing to understand on e explained and I feel a line graph doesn't do much here.
",6,"There's way to many wild deviations here for a simple line graph to have any effect of learning anything in any way. This is just a waste of time to make and look at.
","There's three distinct phases to this and I think it explains the most important one but it's pretty nonsensical to not explain the other two though the rise can be inferred by the explanation.
",There's no real need to denote the minimum as it's painfully obvious in such a wildly distinct graph.,3,1,2,I guess two technically gives more information though it's useless and almost feels patronizing like it was made for someone in elementary school.,5,4,,There's no way a throwaway child hunger initiative in a country with overly redundant food welfare and a availability would shift almost half the country's opinion of him in a positive manner,The President's rise and popularity had to have to do with something else's and the hunger initiative was just along for the ride so to speak. Correlation without causation though I generally loathe that phrase.,"His sharp and steady decline has to have been the result of failing spectacularly at whatever caused it to spike in the first place, which I doubt with 99.9999% certainty had anything to to with child hunger unless it was part of some massive New New Deal or something like that",4,3,6,6,6,6,6,5,4,5,5,5,5,4,35 - 44,4 year degree,Few times a week,6,"Job or career,Social media,Infographics,Government reports",,Every day,1,Every day,1,Other (enter below),Online forums,
178,3,There is no title to give you a summary of what it is trying to show,This gives you a pretty good overall look at what is trying to be presented using more than just words but imagery too,Mainly that you don’t know the exact numbers for each year - the visual and axis gives you an idea but not exactly,"I like the text explanation.  It makes sense to me.  A visual is nice but for me, not necessary.",4,3,2,1,"I tend to like to read the words and use my own imagination for the imagery.  That being said, if the text is not what is available, I prefer to have it all so it paints a clear picture of what is being communicated",8,It doesn’t give you an explanation for the dramatic increase or decrease - just that it did,It does not give you the reason for the increase/decrease,This gives a good overall feel.  I would like to know why it dropped so dramatically after the upgrade.  Text seems like it can give you a lot more info as it doesn’t take up the room the image does (or look complicated or messy) but this is a good depiction of what happened,3,2,1,I prefer more information/explanation than less,1,1,3,Immigration exploded in 2020,There was a slight uptick in a downward trend in immigration in the 70s,Immigration did not greatly increase or decrease from the 60s to 2010s,2,3,5,3,5,3,5,3,4,5,5,4,4,5,45 - 54,4 year degree,A few times a year,2,"News article (print),News media (e.g., television news)",,Few times a week,2,Few times a week,2,"Job or career,News (online or print),Books",,
179,2,It is very bare bones and lets you make your own assumptions but doesn't offer much in the way of helping you interpret everything,its very easy to see a large slope change but its hard to visualize actual percent changes,This is a bit disorganized but it helps visualize the information while also showing and justifying information changes,It explains reasons but it is hard to visualize,4,1,2,3,,2,It is good at explaining in simple terms but could be a bit more descriptive,it is good for viaulization without the text feeling overcrowded,I think this information over describes the axis information,2,1,3,,8,2,3,The app had a quick peak and a slow trickle,Steady decline after the rapid user increase,,4,3,5,5,5,5,5,4,4,5,3,5,5,5,25 - 34,4 year degree,Few times a week,6,Job or career,,Few times a week,2,Every day,1,"Social media,News (online or print),Books",,
180,7,this method is easier on the eyes and i can tell in an instant the information presented.,"the arrow makes a quick reference to a spike in immigration using the arrow, this is a fantastic way of getting your point across.  ",again using the arrows to show quick increases and decreases is an easy simple way get ones point across,having to reread the entire paragragh to get the information i need is a dislike for me.,1,2,3,4,i like the simplest way to see information,1,this does not give enough information about what type of opportunity and or policy encouraged immigration,this method is an easy way to get a point across,this doesn't give enough information on how or why ,3,2,1,more information offered on the first rank plus its easy to understand,3,2,4,national debt crisis has steep decrease from 1960 to 1965,national debt crisis steadily falls from 1965 to 2010,stock index went from 4000 to 2700 in 3 years,3,3,4,3,2,4,3,2,3,3,6,4,4,5,45 - 54,2 year degree,Few times a week,6,"Job or career,Social media",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Books,Magazines,Short stories,Manuals or instructions,Brochures,Government reports",,no
181,2,"Without texts and any explanations, I could interpret this rising income in households. For better presentation, texts are definitely needed as well as explanation, axis, and other pertinent information. ","A graph like this confirms that income has been consistent throughout decades and there was two year spike. I would be curious about specifics like what cause the spike, how households income increase significantly in that period of two years (2008 to 2010). ",Part of text like 'base wages' could use further explanation or clarification. Does base refer to minimum wage or minimum salary from any households? What causes the spike? What happened in 2008?,I would be curious about any income reported prior to 1960. What happened after 2010? The text report provoke questions and curiosity. ,4,2,1,3,,3,"I can see the line indicating a downward pattern without any text or explanation. This provokes questions like what is involved, what causes the decrease, and who is involved. ","The text mentioning/reporting about national debt crisis is an information that confirms the decreasing pattern. Somehow this graph lacks some information like who or what is involved, who is affected, and how it happened?",This graph clearly indicates a decreasing trend. There is text mentioning national debt crisis that helps explain a point of decrease. Axis label and other pertinent information makes this graph easy to understand. ,3,2,1,,6,3,4,"From early 1990s to early 2000s, national debt increased to a new high.","Since government restricted international borrowing in early 2000, the national debt stays flat or remains the same from the new high.","Prior to 1990s, there was no national debt or national debt was decreasing.",3,3,4,4,4,3,4,2,5,4,4,5,5,5,45 - 54,4 year degree,Few times a month,4,"News article (online),News media (e.g., television news),Infographics",,Every day,1,Once a week,3,"Social media,News (online or print),Magazines,Manuals or instructions",,
182,8,I like that I can see the overall trend vis the visual. I dislike the lack of a text title or annotations.,I dislike that there is less context provided with the annotations. I like that there is less clutter overall. I like that the visual makes the overall trend clear.,The text/annotations add relevant content and details. The visual makes the overall trend clear. I dislike that the axis compresses the scale so much.,"I like that this provides key figures and context in text. I dislike that it lacks visuals, and thus requires reading the full paragraph to understand the overall trend.",4,2,1,3,I feel like 1 is a good balance between being thorough and concise. ,4,I dislike the unclear/unhelpful nature of the text title. I think the lack of annotations makes things more confusing. I like that the visual is clear. I like that the axes are clearly/sensibly labeled.,I dislike the vague/misleading title. I don't think the annotation is helpful. I like that the visual makes the trend clear.,I dislike that the title text is misleading. I like that the visual outlines a clear trend.,3,2,1,More context/information is generally preferable if it doesn't result in too much clutter.,6,2,3,National debt reached a record high around 2000.,National debt was lowest around 1992.,National debt was mostly stagnant from 2000-2010.,3,3,6,6,6,6,6,6,4,5,4,5,5,6,25 - 34,4 year degree,Few times a week,6,"Job or career,News article (online),News media (e.g., television news),Health information,Scientific publications,Infographics,Government reports",,Every day,1,Few times a week,2,"Social media,News (online or print),Books,Magazines,Short stories",,
183,1,"I like the simplicity of this chart because it's easy for a viewer to assign rough figures for immigrants and years. I dislike that this method is so simple at the expense of accuracy. I would prefer more points along both axes so I can identify the exact location of, say, 1988 or 2018 instead of having only rough estimates.","I appreciate the addition of the text for this chart; it gives me a specific time where a certain event occurred, and that kind of presentation can provide valuable context. What I don't like in this instance is that the wording is not completely clear. Does the ""slight uptick"" mean that the number of immigrants or going up or, as I suspect, does it mean that the decline is accelerating? In addition to the potentially confusing wording, I don't like how big the dot is. The size makes it difficult to tell if the dot is highlighting a moment when the numbers are increasing or decreasing, and by how much.","I really like the grey box. The text provides valuable context explaining why an 8x increase occurred. I don't like the text saying ""Steady for nearly 6 decades"" because the data doesn't quite support that claim in 20-year blocks instead of a 60-year range. For example, the period between 1960 and 1980 would correctly be called a rather significant decline","I dislike that there is only text. The presentation is insufficient because I don't have access to any numbers prior to 2018. The ""steady over six decades"" claim would lead me to think that immigrants were consistently around 250k, but previous charts indicated otherwise. A chart with both axes present would be a more efficient and accurate way to relay this information.",3,2,1,4,"I'm typically a visual learner and I think charts are extremely helpful in conveying information, especially when complemented with useful text. My #4 choice has the text but fails to paint a full picture in the way that the other graphs do. My #3 choice is too light on details compared to the other two options that featured charts. My #1 choice is the most comprehensive and is the only one to account for that spike starting in 2018.",6,I don't like that the chart doesn't offer any insight into why the debt experienced such wild fluctuations between 1990 and 2000. Some text would be useful to provide clarity.,"I like that the chart now has text which explains what happened around 2000 to stabilize the debt. I'd still like additional text for the previous decade (1990-2000), because the inference is that the lack of restrictions on international borrowing influenced the volatility of the debt during that period. However, the chart does not give me a clear answer on that.","I don't like the way ""Minimum"" is used. Is the text really necessary at all? I'm skeptical because without it, I could just as easily identify that same spot as the minimum over the 20-year period in question. I think ""Minimum"" could offer value if there was a precise date listed next to the text (e.g., ""Jan. 1, 1992"").",3,1,2,"As is, I think ""Minimum"" is more distracting than valuable, so I prefer the chart that omits that attribute.",8,1,,"The number of app users, starting in 2012, spiked to a high point of 500k before falling back down again.",The number of app users have been on a general decline from 2010-2020.,The number of app users has been below 100k since 2014.,4,3,5,5,5,5,5,5,6,6,6,6,6,6,45 - 54,4 year degree,Few times a week,6,"News article (online),News media (e.g., television news),Infographics",,Every day,1,Few times a week,2,"Social media,News (online or print),Books",,I enjoyed the task and articulating what I liked and disliked about each way of presenting information.
184,7,The axes are clear and easy to understand. I don't like that there is no title or annotations.,I like that the title and annotation provided context for why there was a spike.,I like this chart a lot. It clearly annotates all the major changes in the visual and why those changes occurred as a function of administrative policy.,"It is factual and explains why there are changes in immigration rates. However, a graph showing this information would help to demonstrate the large changes more easily.",4,2,1,3,,7,"It provides no context as to why there are large spikes and drops in the number of immigrants. Especially since the title implies that changes in administrative policy caused the spikes, there is no information as to what policy was implemented and when.","This is better, but again the context is limited. I can see from the graph the immigration is higher in 1982 than 1980. I don't need an arrow and annotation to tell me.",The annotations are just putting into words what the graph is saying. They give no explanation as to WHY those changes occured.,1,3,2,"None of these graphs are particularly good, but I put the one with no annotations at the top because the annotations in the subsequent graphs are really pointless.",9,2,3,There was a steady decline in sports game attendance from 2000 to 2010,There was a large spike in game attendance in 2010 that dropped suddenly in 2011.,"After 2011, there is a steady increase in game attendance.",4,3,5,5,5,4,6,5,4,5,4,4,4,4,35 - 44,4 year degree,Few times a month,4,"Job or career,News article (online),Infographics",,Every day,1,Few times a week,2,"News (online or print),Books",,
185,9,I like how easy it is to interpret ,I like how straightforward it is. I don't dislike anything at all,Theres a lot of information being shown that isn't necessary,The information is easily available but feels a little overwhelming,3,1,4,2,,5,I like how basic it is but doesn't give as much information,I like how it provides just enough information without being overwhelming,It feels a bit much with the information shown on the graph itself,3,1,2,,8,2,,Less people use apps now,app useage skyrocketed from 2012-2013,app usage greatlt declined after 2013,3,3,6,5,6,5,6,6,6,6,5,6,6,5,25 - 34,4 year degree,Once a week,5,"News article (online),News article (print),News media (e.g., television news)",,A few times a year,6,Every day,1,"News (online or print),Scientific publications,Books",,
186,6,I don't like the lack of information. I can't tell much aside from what is given,I like how easy it is to interpret,There is too much information going on and the chart looks too crowded,I like how easily the information is available. It does feel a little overwhelming though,3,1,4,2,,2,I like how easy it is to read but more information would be helpful,I like how easy the graph is to understand,I really like how straightforward this chart is. It gives enough information without feeling too overwhelming,3,2,1,,1,1,2,The number of immigrants skyrocketed in 2020,The number of immigrants stayed relatively flat from 1960-2020,Immigration did slightly lessen after 1970 ,3,3,5,6,5,4,6,6,4,5,3,4,4,6,25 - 34,4 year degree,Few times a month,4,"News article (online),News media (e.g., television news),Scientific publications",,Few times a month,4,Few times a week,2,"News (online or print),Scientific publications,Government reports",,
187,8,"it's readable, but I wish there was more background information about why I am seeing the decline.","I like the annotations, the grey text box of info is a little hard to read",I like that it gives me all of the info in the large paragraph but in an easy to digest form. I like this a lot.,I think it's easy to read and understand. The information is given to me in a way that's easy to picture in my head.,4,3,1,2,,3,I don't like how short the horizontal axis is it makes it seem super drastic. I also want more background info on the graph.,this is informative without being overbearing. I like it.,I like the info on why the steep decrease happened but the axis font is just too much,3,1,2,,6,1,4,govt debt dramatically dropped in 1990,govt debt started to rise steadily until 2000,in 2000 there was laws enacted to limit international borrowing which made debt steady,3,3,4,3,4,5,5,2,4,5,4,6,6,6,25 - 34,Some college,Once a week,5,"Job or career,Social media,News media (e.g., television news),Health information,Infographics,Government reports",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books",,
188,9,It makes it really easy to follow the data. Easy to follow the ups and downs.,It explaines the reason for the spike.,It gives the reasons for all the data.,It's easy to follow and understand. The data is literally spelled out to you.,4,3,1,2,I like to see the data in a graph form. Makes it easy to follow the data.,9,"It's simple, no clutter.",It explains the reason for the peak.,It spells out whatm the data represents.,3,2,1,The more information the better.,1,1,4,It stayed cocnsistant till about 2015,It gave data from 1960 to 2020.,It started to climb a lot around 2015.,4,3,5,5,5,5,6,4,5,5,4,6,6,4,45 - 54,2 year degree,Few times a week,6,"News media (e.g., television news)",,Every day,1,A few times a year,6,Magazines,,
189,3,I like that it is easy to understand without unnecessary text. I can make my own conclusions about the graph.,I like that it is easy to understand ,I like that it is easy to understand. I can read the graph to make the conclusion myself so I don't need additional text.,Having to read the block of text. It would be easier to understand if I had a visual graph of the data.,1,2,3,4,,4,Easy to understand,I like that it is easy to understand. Don't need additional text to show something so obvious,I like that it is easy to understand. Don't need extra text showing something so obvious.,1,3,2,,2,1,2,data shows years from 1960 to 2010,data shows values increasing over time period.,peak value was in the last year on the chart which was 2010,4,3,5,5,5,5,6,5,4,6,5,6,6,6,25 - 34,4 year degree,Few times a week,6,"News article (online),News article (print),Health information,Scientific publications,Infographics",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Scientific publications,Books,Manuals or instructions",,
190,5,No indicator of what happened between 2017 and 2018 (the spike and then the downward trend.),I like the graph.  I wish it has some corresponding indicators that might be related to the trends.,Biased.  Correlation is not causation!,"No visual representation, for example, no chart.",2,1,3,4,"I did not want to bias the data.  Had I want the trend text to show on the graph, it would make it look like that correlation was causation.  So a good data person does not do that.",8,"It makes me ask questions about why the spike up and why the spike down, and why the level off, and want the downward trend early on before the spike up.",Redundant info but make it easy for graph weenies to read.,"I would have like to see a separate line (overlayed) for the issue counts over the same period of time, rather than just implying that the update cause the downfall.",2,3,1,,2,3,,Median household income rose linearly from $20k in 1960 to about $62K in 2009.,From 2009 to 2010 Median household income spike upward from 60k to 80k.,,3,3,6,6,6,6,6,6,6,6,6,6,6,6,55 - 64,4 year degree,Every day,7,"Job or career,Social media,News article (online),News media (e.g., television news),Health information,Scientific publications,Infographics,Government reports",,Every day,1,Every day,1,"Job or career,News (online or print),Scientific publications,Books,Manuals or instructions,Government reports",,
191,1,I dislike the lack of text.,"I don't feel like we need an annotation there in 1970, it doesn't add anything.","It is very clear in what it shows - I like that. I do wish that the years were a bit more detailed, though - so maybe showing 2000->2005->2010, etcetera, just to give a clearer idea.","It is very economical in the sense of there isn't much here to misinterpret. It just tells you the information. But, the information is conveyed in a low-effort fashion.",4,2,1,3,,2,"I like how economical this one is - no annotations,. just the line visual... Simple. I don't like how large the title text is, though.","It's pretty barren, which isn't entirely a bad thing, but it comes off a tad low effort in comparison to the previous one. ","My dislike for this goes back to earlier - I really wish more years were shown in order to very clearly tell us what the values were in each year. So, 1960->1965... Aside from that, it is very clear and uses annotations and visuals to explain the idea.",3,1,2,"The title text, interestingly, seemed so much larger in the one I ranked third. Obviously, it isn't, but I think the lack of annotation made it SEEM bigger to me, which detracted from the line itself.",5,2,,The Presidential Approval Rating was at its highest between 2017 and 2018.,The Presidential Approval Rating was lower in 2020 than it was in 2016.,,4,3,5,4,5,4,5,2,3,5,4,2,2,6,18 - 24,Some college,Few times a week,6,"Job or career,News article (print),Health information,Scientific publications,Infographics",,Few times a week,2,Few times a week,2,"Job or career,Social media,News (online or print),Scientific publications,Books,Short stories,Manuals or instructions,Brochures",,
192,4,able to pinpoint data points easily,able to pinpoint data points easily,like the others with data points easily found but with more information,takes too much information to get the point across,3,2,1,4,Ease behind understanding the information and the extra context behind it,9,simplistic and to the point,easy to understand,easy to understand with the extra context,3,2,1,the most extra context is available to help understand,5,3,4,The higher approval coincides with initiatives to stop hunger,approval falls sharply after,,2,3,3,3,4,4,3,3,4,5,3,5,5,4,25 - 34,High school graduate,Few times a week,6,"News article (online),Scientific publications,Infographics",,Every day,1,Few times a month,4,"News (online or print),Manuals or instructions",,
193,7,"I like that it is easy to read and easy to see when the spikes in immigrants happened. Depending on what information I needed, I might like it better if the x axis contained more years instead of listing it by 5 year increments. Of course, this would make the chart larger and this would only be necessary if I needed to know a more precise year when answering questions.",This chart doesn't explain the information that is presented. It doesn't give me a cause for the decreases in immigration or what policy changes caused the spikes and dips.,I really like the added information because it explains what caused the increases and decreases. I also like that the title tells me exactly what is being plotted. ,I like the detailed information but the information alone does not really show me the data in an easy to grasp way. The graph is needed to really see the impact of the different policies.,4,3,1,2,"#1 is the best because it contains the most information in a graph form. #2 is good because it really explains the graph but without the graph, it is not as good as #1. #3 is okay because I can see the changes but  isn't good because I don't know why they happened. #4 is just basic with no explanation on anything so I liked it least of all.",1,"If I just want to know when the huge increase in immigration happened, this clearly shows it but it doesn't explain what caused the huge increase prior to 2020. It also be more informative by having more years on the x axis and smaller number on the y axis. Since most of the graph is below 500k, it would be more informative to use smaller numbers but if I just wanted to know when the huge uptick happened, this shows that very well.",I don't like that it doesn't explain the huge increase around 2020 and the graphing it by decade doesn't clearly show what happened in between. It also doesn't explain what caused the slight uptick.,I like that the title explains what data I'm seeing but it doesn't explain the huge increase before 2020. It also is showing the numbers by decades which might not be helpful. ,1,2,3,I like the first one because it gives an overview and the note stating a slight uptick happened isn't really necessary unless that is the data I need. I also don't need to know that the chart shows 1960-2020 by the decade because it is already on the chart. I think that information actually takes away from the presentation.,7,1,3,The chart shows the number of immigrants over time.,There were around 2 million immigrants around 1980.,The second peak happened 10 years after the first peak.,2,3,5,5,5,4,5,3,6,6,6,6,6,6,55 - 64,Professional degree,Few times a month,4,"Job or career,News article (online),Health information,Scientific publications",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Scientific publications,Books,Short stories",,
194,8,I like how i get a good representation of what happened over the years with the number of users. ,I like how you get presented with the rapid increase  from the set years. And how you are able to see the drop in users. ,I like how it shows the rise of use and the ne steady decline. indicating something happened ,I dislike the fact that the owners of the app did not take enough effort to maintain the app. They kept taking too long to address the problems thus making everyone leave their platform. ,4,2,3,1,,8,I liked how you were clearly able to see the number of users between the high years and the current years,I like having additional information presented on the graph at specific points. it helps to represent what is being shown. ,I like being able to see additional information on this char about the  years of increase and the update.,3,2,1,,2,2,,The income is greater in 2010 compared to 1960,The chart shows the median household income between 1960 and 2010,"from 1960 to 2005 income rose steadily, Then after 2005 it rose even more.",4,3,3,3,4,3,4,3,3,5,4,3,3,4,35 - 44,High school graduate,Few times a month,4,Job or career,,Few times a week,2,Once a week,3,"Job or career,Social media",,
195,1,"It lacks relevant annotations, waht happened in 2016, what's the last data point, 2020?",The one thing it annotates is irrelevant,"This is all encompassing, tells us of the magnitude of change, and what happened in 2018. This is the best one so far","I like it, short sweet and simple.",3,4,1,2,,3,Not enough information to draw conclusions,"Not quite as helpful, I am still not sure why it still drops, even after the first step drop",I don't know if it's normal or not for it to be decreasing over time? I want to know more info.,3,2,1,,9,2,4,Sports games attendance dropped to a low in about 2009,"Then, in 2010 ticket sales were super high and a little bit of a plateau because of deals","After the deal was over, the ticket sales dropped immediately, but over time, from 2011-2020 they've continuously increased positively.",3,3,5,5,5,5,5,6,6,6,4,6,6,6,25 - 34,Professional degree,Every day,7,"Job or career,Social media,News article (online),News article (print),News media (e.g., television news),Scientific publications,Infographics",,Every day,1,Few times a week,2,"Social media,News (online or print),Scientific publications,Books,Magazines,Manuals or instructions,Brochures",,
196,4,That the median income starts at 20k instead of 0.,I dislike that the axis starts at 20k instead of 0.,I thought that the annotation about what the line depicts to be unnecessary.,It is too wordy.,1,2,3,4,,6,There is a lack of explanation for why the line is the way it is.,I like that the annotations provided an explanation for why the line was steady for a certain time period.,I like that the annotations explained the reason for why the line looks the way it did for a certain period of time.,3,1,2,,5,1,,"The presidential approval rating sharply increased in mid 2017, before plummeting afterwards.",,,5,3,3,3,3,3,3,3,3,4,6,6,6,6,25 - 34,4 year degree,A few times a year,2,"News article (online),News media (e.g., television news),Infographics,Government reports",,Every day,1,Every day,1,"Social media,News (online or print),Books,Magazines,Short stories,Brochures",,
